track_id,track_name,track_artist,track_popularity,track_album_release_date,danceability,energy,key,loudness,mode,valence,tempo,duration_ms,song_percentile,duration_min
2XU0oxnq2qxCpomAAuJY8K,Dance Monkey,Tones and I,100,2019-10-17,0.824,0.588,6,-6.4,0,0.513,98.027,209438,100,3.4906333333333333
696DnlkuDOXcMAnKlTgXXK,ROXANNE,Arizona Zervas,99,2019-10-10,0.621,0.601,6,-5.616,0,0.457,116.735,163636,99.98543335761107,2.7272666666666665
7k4t7uLgtOxPwTpFmtJNTY,Tusa,KAROL G,98,2019-11-07,0.803,0.715,2,-3.28,1,0.574,101.085,200960,99.91260014566642,3.3493333333333335
2b8fOow8UzyDFAE27YhOZM,Memories,Maroon 5,98,2019-09-20,0.764,0.32,11,-7.209,1,0.575,91.019,189486,99.91260014566642,3.1581
0sf12qNH5qcw8qpgymFOqD,Blinding Lights,The Weeknd,98,2019-11-29,0.513,0.796,1,-4.075,1,0.345,171.017,201573,99.91260014566642,3.35955
21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,98,2019-09-06,0.695,0.762,0,-3.497,1,0.553,120.042,215280,99.91260014566642,3.588
0nbXyq5TXYPCO7pr3N8S4I,The Box,Roddy Ricch,98,2019-12-06,0.896,0.586,10,-6.687,0,0.642,116.971,196653,99.91260014566642,3.27755
3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,Billie Eilish,97,2019-11-13,0.704,0.225,6,-14.454,0,0.243,120.006,245426,99.88346686088857,4.090433333333333
6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,Dua Lipa,97,2019-10-31,0.794,0.793,11,-4.521,0,0.677,123.941,183290,99.88346686088857,3.0548333333333333
6cy3ki60hLwimwIje7tALf,RITMO (Bad Boys For Life),The Black Eyed Peas,96,2019-10-12,0.721,0.716,10,-7.037,0,0.667,104.994,221714,99.86890021849963,3.6952333333333334
2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,95,2019-03-29,0.701,0.425,7,-10.965,1,0.562,135.128,194088,99.8543335761107,3.2348
2tnVG71enUj33Ic2nFN6kZ,Ride It,Regard,94,2019-07-26,0.88,0.751,7,-4.258,0,0.884,117.948,157606,99.78150036416606,2.6267666666666667
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,94,2019-05-17,0.501,0.405,1,-5.679,1,0.446,109.891,182161,99.78150036416606,3.036016666666667
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,Travis Scott,94,2019-10-04,0.598,0.427,7,-8.764,0,0.0605,76.469,175721,99.78150036416606,2.9286833333333333
7aiClxsDWFRQ0Kzk5KI5ku,hot girl bummer,blackbear,94,2019-08-23,0.778,0.559,6,-7.109,0,0.678,129.989,185093,99.78150036416606,3.0848833333333334
3yOlyBJuViE2YSGn3nVE1K,My Oh My (feat. DaBaby),Camila Cabello,94,2019-12-06,0.724,0.491,8,-6.024,1,0.383,105.046,170746,99.78150036416606,2.8457666666666666
2ksOAxtIxY8yElEWw8RhgK,China,Anuel AA,93,2019-07-19,0.786,0.808,7,-3.702,1,0.609,105.027,301714,99.69410050983248,5.028566666666666
0TK2YIli7K1leLovkQiNik,Señorita,Shawn Mendes,93,2019-06-21,0.759,0.54,9,-6.039,0,0.75,116.947,190960,99.69410050983248,3.1826666666666665
57vxBYXtHMk6H1aD29V7PU,Heartless,The Weeknd,93,2019-11-27,0.531,0.75,10,-5.831,0,0.198,169.954,200080,99.69410050983248,3.3346666666666667
1HfMVBKM75vxSfsQ5VefZ5,Lose You To Love Me,Selena Gomez,93,2019-10-23,0.505,0.34,4,-9.005,1,0.0916,101.993,206459,99.69410050983248,3.4409833333333335
